koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,label,koi_tce_delivname_q1_q17_dr24_tce,koi_tce_delivname_q1_q17_dr25_tce,depth_duration_ratio,insol_prad_ratio,stellar_luminosity_proxy
1,0,0,0,611.09299,0.03092,-0.03092,0.2171,0.2377,-0.217,134.3101,0.0382,-0.0382,15.22,1.3,-1.3,270.0,31.0,-31.0,1.53,0.59,-0.13,215.0,0.51,0.56,-0.13,12.2,6032.0,146.0,-177.0,4.508,0.039,-0.039,0.929,0.354,-0.081,298.16547,40.005249,13.604,0,True,False,17.739814865977998,0.333333115468552,5205.863312
1,0,0,0,606.91488768,2.154e-05,-2.154e-05,0.586,0.177,-0.184,132.3897061,0.00307,-0.00307,5.96,0.109,-0.109,501.5,19.6,-19.6,2.62,0.56,-0.34,933.0,180.465,92.7,-51.705,30.5,5774.0,157.0,-160.0,4.438,0.071,-0.128,1.0,0.246,-0.111,291.6535,41.741772,13.532,0,False,False,84.14428118384544,68.87974470238751,5774.0
1,0,0,0,603.3102,0.01152,-0.01152,0.3142,0.1387,-0.3141,151.0618,0.0128,-0.0128,8.025,0.558,-0.558,517.9,51.4,-51.4,2.6,1.35,-0.29,250.0,0.92,1.42,-0.29,11.9,6446.0,160.0,-228.0,4.391,0.065,-0.311,1.125,0.586,-0.124,298.60699,41.446011,13.911,0,False,False,64.53581750332492,0.3538460177515316,8158.21875
1,0,0,0,601.13797,0.04055,-0.04055,0.057,0.413,-0.056,226.686,0.0515,-0.0515,15.26,1.6,-1.6,172.8,19.4,-19.4,1.81,0.46,-0.56,254.0,0.99,0.76,-0.58,9.9,5786.0,173.0,-190.0,4.155,0.293,-0.158,1.388,0.353,-0.431,287.96262,43.132195,13.17,0,False,True,11.323721407357707,0.5469610237784399,11146.983584
1,0,0,0,598.31791,0.04373,-0.04373,0.5712,0.3891,-0.356,295.9314,0.0527,-0.0527,16.07,2.1,-2.1,283.2,44.1,-44.1,1.27,0.22,-0.1,173.0,0.21,0.12,-0.05,8.3,5216.0,162.0,-132.0,4.613,0.029,-0.104,0.735,0.124,-0.057,291.19971,38.71133,14.415,0,False,False,17.622898716683338,0.16535420050850355,2817.8136
1,0,0,0,595.78152,0.03389,-0.03389,0.164,0.283,-0.164,363.7685,0.0325,-0.0325,15.97,1.2,-1.2,84.9,9.5,-9.5,1.18,0.24,-0.34,245.0,0.85,0.53,-0.46,10.6,5618.0,154.0,-126.0,4.155,0.286,-0.132,1.288,0.271,-0.372,288.19321,50.921619,11.446,0,False,True,5.316217575690822,0.7203383725945995,9319.947392000002
1,0,0,0,593.19521,0.04597,-0.04597,0.6192,0.0779,-0.4432,333.732,0.101,-0.101,25.65,5.5,-5.5,227.3,56.3,-56.3,1.63,0.58,-0.22,234.0,0.71,0.75,-0.23,7.1,6103.0,163.0,-186.0,4.391,0.096,-0.096,1.03,0.371,-0.135,289.18787,44.006969,14.733,0,True,False,8.861598095064402,0.43558255485732833,6474.6727
1,0,0,0,591.37382,0.01092,-0.01092,0.1609,0.2834,-0.1603,333.48076,0.00875,-0.00875,4.35,1.4,-1.4,245.0,39.1,-39.1,2.2,0.98,-0.47,289.0,1.65,2.14,-0.76,10.7,6609.0,163.0,-211.0,4.183,0.182,-0.248,1.391,0.615,-0.299,296.94693,44.553761,12.913,0,False,False,56.321826132913536,0.7499996590910639,12787.628529
1,0,0,0,590.44065,0.03236,-0.03236,0.2858,0.1789,-0.2857,199.918,0.0414,-0.0414,7.55,1.4,-1.4,125.7,27.1,-27.1,1.62,0.94,-0.3,291.0,1.7,2.97,-0.71,6.9,6782.0,159.0,-236.0,4.243,0.112,-0.329,1.417,0.828,-0.256,298.34109,42.114891,12.773,0,False,False,16.649004417350408,1.0493820682826738,13617.503198
1,0,0,0,589.74851,0.01735,-0.01735,0.3597,0.0717,-0.3594,241.6495,0.0199,-0.0199,12.74,0.798,-0.798,462.4,47.5,-47.5,2.03,0.77,-0.18,217.0,0.53,0.58,-0.15,11.5,6003.0,153.0,-193.0,4.507,0.04,-0.04,0.932,0.356,-0.083,294.4686,46.34129,14.839,0,True,False,36.29513058907923,0.2610836152297462,5214.349872000001
